ID	Condition	Trial	TrialPosition	LookingTime	SaccLatency	pred	notpred
11	Con	2	4	3416.666667	1233.333333	0	1
11	Con	3	6	3541.666667	1275	0	1
11	Con	4	7	4058.333333	658.3333333	1	0
11	Con	5	10	3325	1333.333333	0	1
11	Con	6	12	3208.333333	1291.666667	0	1
11	Con	7	14	3200	1441.666667	0	1
11	Con	8	15	3383.333333	708.3333333	1	0
11	Con	9	17	3441.666667	1225	0	1
11	Con	10	19	3575	1233.333333	0	1
11	Con	11	21	2958.333333	1233.333333	0	1
11	Con	12	24	NA	1408.333333	0	1
12	Soc	1	1	NA	NA	NA	NA
12	Soc	2	4	1600	1458.333333	0	1
12	Soc	3	5	NA	NA	NA	NA
12	Soc	4	7	66.66666667	358.3333333	1	0
12	Soc	5	10	3625	400	1	0
12	Soc	6	11	2850	1166.666667	1	0
12	Soc	7	13	2841.666667	291.6666667	1	0
12	Soc	8	16	3366.666667	1158.333333	1	0
12	Soc	9	18	3275	208.3333333	1	0
12	Soc	10	19	3125	1000	1	0
12	Soc	11	22	3183.333333	1183.333333	1	0
12	Soc	12	24	2808.333333	941.6666667	1	0
12	Con	1	2	3450	1333.333333	0	1
12	Con	2	3	3450	1300	0	1
12	Con	3	6	NA	NA	NA	NA
12	Con	4	8	NA	NA	NA	NA
12	Con	5	9	2975	1400	0	1
12	Con	6	12	2875	1258.333333	0	1
12	Con	7	14	3416.666667	1325	0	1
12	Con	8	15	3191.666667	1316.666667	0	1
12	Con	9	17	3258.333333	1241.666667	0	1
12	Con	10	20	3316.666667	1283.333333	0	1
12	Con	11	21	3500	1258.333333	0	1
12	Con	12	23	3450	1241.666667	0	1
13	Soc	1	1	3525	1191.666667	1	0
13	Soc	2	3	3008.333333	1275	0	1
13	Soc	3	5	1666.666667	1333.333333	0	1
13	Soc	4	8	1833.333333	1333.333333	0	1
13	Soc	5	10	1691.666667	1275	0	1
13	Soc	6	12	1741.666667	1225	0	1
13	Soc	7	13	1500	1208.333333	0	1
13	Soc	8	15	1600	1283.333333	0	1
13	Soc	9	17	666.6666667	1233.333333	0	1
13	Soc	10	20	1741.666667	1433.333333	0	1
13	Soc	11	22	225	1266.666667	0	1
13	Soc	12	23	NA	NA	NA	NA
13	Con	1	2	3483.333333	1266.666667	0	1
13	Con	2	4	2950	1216.666667	0	1
13	Con	3	6	3575	1191.666667	1	0
13	Con	4	7	3341.666667	1325	0	1
13	Con	5	9	3441.666667	1208.333333	0	1
13	Con	6	11	1925	1133.333333	1	0
13	Con	7	14	1933.333333	975	1	0
13	Con	8	16	1116.666667	1308.333333	0	1
13	Con	9	18	1975	1175	1	0
13	Con	10	19	691.6666667	1283.333333	0	1
13	Con	11	21	591.6666667	1275	0	1
13	Con	12	24	541.6666667	1325	0	1
14	Soc	1	1	3258.333333	1208.333333	0	1
14	Soc	2	3	3475	1191.666667	1	0
14	Soc	3	6	3141.666667	858.3333333	1	0
14	Soc	4	8	3383.333333	1066.666667	1	0
14	Soc	5	9	3191.666667	950	1	0
14	Soc	6	11	3350	850	1	0
14	Soc	7	13	2008.333333	1025	1	0
14	Soc	8	15	2608.333333	1216.666667	0	1
14	Soc	9	18	2783.333333	966.6666667	1	0
14	Soc	10	19	3450	1175	1	0
14	Soc	11	21	2708.333333	1666.666667	0	1
14	Soc	12	24	2333.333333	1616.666667	0	1
14	Con	1	2	3375	1425	0	1
14	Con	2	4	3325	1391.666667	0	1
14	Con	3	5	3091.666667	1541.666667	0	1
14	Con	4	7	3325	1375	0	1
14	Con	5	10	2816.666667	1300	0	1
14	Con	6	12	2516.666667	1350	0	1
14	Con	7	14	2541.666667	1341.666667	0	1
14	Con	8	16	3041.666667	1266.666667	0	1
14	Con	9	17	3433.333333	1333.333333	0	1
14	Con	10	20	3291.666667	1350	0	1
14	Con	11	22	3191.666667	1541.666667	0	1
14	Con	12	23	2300	1766.666667	0	1
16	Soc	1	2	3383.333333	1341.666667	0	1
16	Soc	2	3	2241.666667	1241.666667	0	1
16	Soc	3	5	3383.333333	1225	0	1
16	Soc	4	8	3516.666667	1275	0	1
16	Soc	5	9	2508.333333	1316.666667	0	1
16	Soc	6	11	3333.333333	1225	0	1
16	Soc	7	14	1775	1200	1	0
16	Soc	8	16	1991.666667	1250	0	1
16	Soc	9	18	1891.666667	1275	0	1
16	Soc	10	20	1625	1241.666667	0	1
16	Soc	11	21	3575	1208.333333	0	1
16	Soc	12	24	3591.666667	1258.333333	0	1
16	Con	1	1	3508.333333	NA	NA	NA
16	Con	2	4	3566.666667	1200	1	0
16	Con	3	6	3516.666667	1241.666667	0	1
16	Con	4	7	3683.333333	1216.666667	0	1
16	Con	5	10	3583.333333	1191.666667	1	0
16	Con	6	12	3116.666667	1216.666667	0	1
16	Con	7	13	2916.666667	1225	0	1
16	Con	8	15	3625	1200	1	0
16	Con	9	17	3358.333333	1191.666667	1	0
16	Con	10	19	3575	1258.333333	0	1
16	Con	11	22	3650	1208.333333	0	1
16	Con	12	23	NA	1241.666667	0	1
17	Soc	1	1	3608.333333	1175	1	0
17	Soc	2	3	1850	1291.666667	0	1
17	Soc	3	5	NA	NA	NA	NA
17	Soc	4	7	2541.666667	1283.333333	0	1
17	Soc	5	10	1833.333333	1450	0	1
17	Soc	6	12	1416.666667	1541.666667	0	1
17	Soc	7	13	583.3333333	1283.333333	0	1
17	Soc	8	16	950	1291.666667	0	1
17	Soc	9	17	658.3333333	1383.333333	0	1
17	Soc	10	19	891.6666667	1308.333333	0	1
17	Soc	11	22	3083.333333	1275	0	1
17	Soc	12	23	1975	1216.666667	0	1
17	Con	1	2	3041.666667	1275	0	1
17	Con	2	4	3283.333333	1250	0	1
17	Con	3	6	1425	1233.333333	0	1
17	Con	4	8	1058.333333	1375	0	1
17	Con	5	9	241.6666667	NA	NA	NA
17	Con	6	11	1016.666667	1250	0	1
17	Con	7	14	NA	NA	NA	NA
17	Con	8	15	1108.333333	1666.666667	0	1
17	Con	9	18	NA	NA	NA	NA
17	Con	10	20	3375	1258.333333	0	1
17	Con	11	21	3391.666667	1258.333333	0	1
17	Con	12	24	NA	NA	NA	NA
19	Soc	1	1	3100	1258.333333	0	1
19	Soc	2	3	2941.666667	1191.666667	1	0
19	Soc	3	6	3191.666667	1225	0	1
19	Soc	4	7	3483.333333	1175	1	0
